id,title,description
1,DOOMED / DOOR / DOOMED EXIT,0
2,WATERFRONT / DOOR / BALCONY,
3,Find booze and drink it,"The hangover feels really bad. You have to take the edge off. Find a bottle of alcohol, put it in your hand (equip it in the HELD slot in your INVENTORY), and the magic will happen by its own!"
4,Replace lost boule,"Due to some confusion over the game René and Gaston are playing, you threw one of their pétanque *boules* far in the sea. The shot was excellent, but now you owe them a *boule*... or at least similar-looking metal sphere."
5,Make truce with Cuno,"You tried to punch Cuno and failed catastrophically. Now you need to make a truce with him to gain access to his knowledge. Offer him something he might like. Smokes? A ""Man from Hjelmdall"" book?"
6,Find your other shoe,Seems like your green snakeskin shoe is missing its partner. You should find it before you go venturing into the wild unknown. Two shoes are better than one -- unite them again.
7,Interview cafeteria manager,The cafeteria manager of the Whirling-in-Rags might know something about the murder that happened in the yard. Ask him about it.
8,Inspect victim's body,"Inspect the body hanging in the back yard of the Whirling-in-Rags. This is a preliminary inspection, you just need to suppress the urge to throw up and approach it."
9,Report your badge missing,You need to report your missing badge to the 41st Precinct as soon as possible. The lieutenant said that you can use the radio in his motorcar to call your station.
10,Find money for rent and pay Garte,"You need to find 20 reál to pay for your room at the Whirling, or it will be locked after 21.00. As long as you don't have a free place to stay you have to do this every night."
11,Pay for damages,"You need to pay for the damages you caused in the Whirling-in-Rags, or you won't have a place to stay tonight. Ask around for money and be careful with your spending. If you're unsure how much you owe, ask Garte."
12,Find smokes and smoke them,"You need to get your hands on some cigarettes and then smoke them... for those massive bonuses. Find a pack, put it in your hand (equip it in the HELD slot in your INVENTORY), and the smokes will do the rest."
13,Getting the body down,"Somehow make it so that the bloated corpse isn't up there any more. Shoot it down or ask for help. Do something, you're a cop."
14,Find working class husband,"The working class woman you met in front of the bookstore admitted that her husband is missing. Chances are the guy is drinking somewhere with his buddies. Find him and bring him home, if possible."
15,Talk to Garte for Sylvie,"Sylvie asked you to talk to Garte and tell him she's sorry. Go to the cafeteria manager and relay the news, maybe it will help you somehow?"
16,Talk to Joyce about the pale without Kim,"Lieutenant Kitsuragi does not want you to hear about something called the *pale*, probably thinking it will prove traumatic. Return to Joyce once he is not there, and ask her about it. *Or* get him to step away for a second."
17,Track down your badge,"It's unclear how you should go about finding a tiny piece of plastic in a world as huge as this. Maybe you'll just *stumble* across it, down the line? Miracles happen."
18,Add even more beauty to the wall,"You have seen an exceptionally beautiful wall in Martinaise, near the pier, and have decided to add to its beauty, artistically. This will take a brush first? Who would have one? Then paint, and then the act itself."
19,Open trash container,"There's a locked trash container behind the Whirling-in-Rags. The manager, Garte, should have a key. Alternatively, you could use brute force to pry the lid open. You just need a prybar."
20,Interview the Wild Pines rep,"Find the representative of the logistics company who owns the harbour, and ask her about the murder. She should be around here somewhere..."
21,Interview the Union boss,"Enter the harbour and seek an audience with the local Débardeur's Union leader, Evrart Claire -- you need to ask him about the murder in his District."
22,Perform field autopsy,"The hanged man is down. Perform a closer inspection of his body, arriving at cause of death. This will need a form to be filled, in three parts."
23,Find out who is in the Union box,"Garte has told you some unruly Union men gather in the mess hall of the Whirling-in-Rags. They're not there today, but most likely they'll eventually show up -- keep an eye out for them."
24,Speak to the assault victim,Go upstairs and knock on the door #3 to talk to the supposed victim of the hanged man. See what she has to say to you.
25,Ask about Ruby in the village,"Titus said Ruby -- the instigator of the lynching -- has a shack she rents on the coast. First go across the waterlock (south of Martinaise), then walk down the coast until you find a little fishing village. Ask around, the locals must have seen her."
26,Return to the Whirling-in-Rags,Return to the Whirling after the whole Instigator debacle. Someone there has something to answer to.
27,Go to the island,"Go to the islet in the bay. There could be a boat in the fishing village, on the coast. Ask there."
28,Run the number on the victim's armour,You discovered a serial number on the victim's ceramic armour boots. Run the number using lieutenant Kitsuragi's shortwave in his motor carriage.
29,The Jam Mystery,"Someone's using Terminal B to smuggle raw ingredients of drugs into Revachol. Joyce said there are 3 drivers at the intersection. Talk to them, one of them *must* know something about the drug trade."
30,Call your station's lazareth,"Kim suggested you call the station lazareth in order to sort out your health issues. You can use his motor carriage to make the call, although you don't feel hopeful."
