originconversationid,origindialogueid,destinationconversationid,destinationdialogueid,isConnector,priority
1,0,1,1,0,2
1,0,1,2,0,2
2,0,2,1,0,2
3,0,3,1,0,2
4,0,4,1,0,2
5,0,5,1,0,2
6,0,6,1,0,2
7,0,7,1,0,2
8,0,8,1,0,2
9,0,9,1,0,2
10,0,10,1,0,2
11,0,11,1,0,2
12,0,12,1,0,2
13,0,13,1,0,2
14,0,14,1,0,2
15,0,15,1,0,2
16,0,16,1,0,2
17,0,17,1,0,2
18,0,18,1,0,2
19,0,19,1,0,2
20,0,20,1,0,2
21,0,21,1,0,2
22,0,22,1,0,2
23,0,23,1,0,2
24,0,24,1,0,2
25,0,25,1,0,2
26,0,26,1,0,2
27,0,27,1,0,2
28,0,28,1,0,2
29,0,29,1,0,2
30,0,30,1,0,2
31,0,31,1,0,2
32,0,32,1,0,2
33,0,33,1,0,2
34,0,34,1,0,2
35,0,35,1,0,2
36,0,36,1,0,2
37,0,37,1,0,2
38,0,38,1,0,2
39,0,39,1,0,2
40,0,40,1,0,2
41,0,41,1,0,2
42,0,42,1,0,2
43,0,43,1,0,2
44,0,44,1,0,2
45,0,45,1,0,2
46,0,46,1,0,2
47,0,47,1,0,2
48,0,48,1,0,2
49,0,49,1,0,2
50,0,50,1,0,2
51,0,51,1,0,2
52,0,52,1,0,2
53,0,53,1,0,2
54,0,54,1,0,2
55,0,55,1,0,2
56,0,56,1,0,2
57,0,57,1,0,2
58,0,58,1,0,2
59,0,59,1,0,2
60,0,60,1,0,2
61,0,61,1,0,2
62,0,62,1,0,2
63,0,63,1,0,2
64,0,64,1,0,2
65,0,65,1,0,2
66,0,66,1,0,2
67,0,67,1,0,2
68,0,68,1,0,2
69,0,69,1,0,2
70,0,70,1,0,2
71,0,71,1,0,2
72,0,72,1,0,2
73,0,73,1,0,2
74,0,74,1,0,2
75,0,75,1,0,2
76,0,76,1,0,2
77,0,77,1,0,2
78,0,78,1,0,2
79,0,79,1,0,2
80,0,80,1,0,2
81,0,81,1,0,2
82,0,82,1,0,2
83,0,83,1,0,2
84,0,84,1,0,2
85,0,85,1,0,2
86,0,86,1,0,2
87,0,87,1,0,2
88,0,88,1,0,2
89,0,89,1,0,2
90,0,90,1,0,2
91,0,91,1,0,2
92,0,92,1,0,2
93,0,93,1,0,2
94,0,94,1,0,2
95,0,95,1,0,2
96,0,96,1,0,2
97,0,97,1,0,2
98,0,98,1,0,2
99,0,99,1,0,2
100,0,100,1,0,2
101,0,101,1,0,2
102,0,102,1,0,2
103,0,103,1,0,2
104,0,104,1,0,2
105,0,105,1,0,2
106,0,106,1,0,2
107,0,107,1,0,2
108,0,108,1,0,2
109,0,109,1,0,2
110,0,110,1,0,2
111,0,111,1,0,2
112,0,112,1,0,2
113,0,113,1,0,2
114,0,114,1,0,2
115,0,115,1,0,2
116,0,116,1,0,2
117,0,117,1,0,2
118,0,118,1,0,2
119,0,119,1,0,2
120,0,120,1,0,2
121,0,121,1,0,2
122,0,122,1,0,2
123,0,123,1,0,2
124,0,124,1,0,2
125,0,125,1,0,2
126,0,126,1,0,2
127,0,127,1,0,2
128,0,128,1,0,2
129,0,129,1,0,2
130,0,130,1,0,2
131,0,131,1,0,2
132,0,132,1,0,2
133,0,133,1,0,2
134,0,134,1,0,2
135,0,135,1,0,2
136,0,136,1,0,2
137,0,137,1,0,2
137,1,137,37,0,2
137,2,137,3,0,2
137,3,137,5,0,2
137,4,137,14,0,2
137,5,137,67,0,2
137,6,137,7,0,2
137,6,137,8,0,2
137,7,137,9,0,2
137,9,137,10,0,2
137,9,137,11,0,2
137,10,137,12,0,2
137,11,137,13,0,2
137,14,137,18,0,2
137,15,137,21,0,2
137,16,137,20,0,2
137,17,137,22,0,2
137,18,137,17,0,2
137,18,137,15,0,2
137,18,137,16,0,2
137,18,137,38,0,2
137,18,137,19,0,2
137,20,137,23,0,2
137,21,137,18,0,2
137,22,137,18,0,2
137,23,137,101,0,2
137,24,137,56,0,2
137,25,137,60,0,2
137,26,137,58,0,2
137,26,137,24,0,2
137,27,137,59,0,2
137,28,137,73,0,2
137,29,137,51,0,2
137,30,137,70,0,2
137,31,137,51,0,2
137,32,137,30,0,2
137,33,137,34,0,2
137,33,137,35,0,2
137,34,137,64,0,2
137,35,137,36,0,2
137,36,137,2,0,2
137,36,137,19,0,2
137,37,137,33,0,2
137,38,137,39,0,2
137,39,137,82,0,2
137,40,137,41,0,2
137,41,137,42,0,2
137,41,137,43,0,2
137,42,137,44,0,2
137,43,137,52,0,2
137,44,137,45,0,2
137,44,137,46,0,2
137,44,137,49,0,2
137,45,137,48,0,2
137,46,137,47,0,2
137,47,137,30,0,2
137,48,137,30,0,2
137,49,137,61,0,2
137,50,137,32,0,2
137,51,137,18,0,2
137,52,137,53,0,2
137,53,137,54,0,2
137,53,137,55,0,2
137,54,137,27,0,2
137,55,137,76,0,2
137,56,137,79,0,2
137,57,137,28,0,2
137,58,137,56,0,2
137,59,137,57,0,2
137,60,137,26,0,2
137,61,137,62,0,2
137,61,137,50,0,2
137,62,137,56,0,2
137,63,137,51,0,2
137,64,137,87,0,2
137,65,985,415,0,2
137,66,137,65,0,2
137,67,137,68,0,2
137,67,137,69,0,2
137,68,137,4,0,2
137,69,137,92,0,2
137,70,137,71,0,2
137,70,137,72,0,2
137,71,137,31,0,2
137,72,137,51,0,2
137,73,137,74,0,2
137,73,137,75,0,2
137,74,137,29,0,2
137,75,137,51,0,2
137,76,137,77,0,2
137,76,137,78,0,2
137,77,137,25,0,2
137,78,137,79,0,2
137,79,137,80,0,2
